ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0001525	angiogenesis	67/498	410/12060	0.163414634146341	3.9573905377608	12.6442036229055	7.91687544169853e-23	3.35833856236852e-19	2.388396317464e-19	HK2/FZD8/SEMA3E/JCAD/SFRP1/RAMP2/SPRY2/PDGFB/EPHA1/CCBE1/ADM2/NPPB/CCN1/KLF4/XBP1/FGF18/FUT1/TGFA/APLN/F3/PDGFA/FOXC1/FOXC2/SMOC2/THBS1/CCN2/KDR/UNC5B/EDN1/EGFL7/ISM1/ARHGAP22/EPAS1/GBX2/HDAC9/ADAM12/ADM/FLT1/EPHA2/PGF/TWIST1/THY1/GADD45A/VEGFA/CARD10/NPR1/NDNF/JAG1/RUNX1/SRPX2/ANPEP/PLXND1/SAT1/KLF5/TGFBI/ADGRA2/EMILIN1/VEGFC/SEMA5A/MCAM/TGFB1/FZD5/CYP1B1/CAV1/HMOX1/TGFB2/HEY1	67
GO:0048514	blood vessel morphogenesis	71/498	478/12060	0.148535564853556	3.59706608862227	12.0242779267408	1.13195280024877e-21	2.40087188932765e-18	1.70746143448052e-18	HK2/MYO1E/FZD8/SEMA3E/JCAD/SFRP1/RAMP2/SPRY2/PDGFB/EPHA1/CCBE1/ADM2/NPPB/CCN1/KLF4/XBP1/FGF18/FUT1/TGFA/APLN/F3/PDGFA/FOXC1/FOXC2/SMOC2/THBS1/CCN2/KDR/UNC5B/EDN1/EGFL7/ISM1/ARHGAP22/PRDM1/EPAS1/GBX2/HDAC9/ADAM12/ADM/FLT1/EPHA2/PGF/TWIST1/THY1/GADD45A/VEGFA/CARD10/NPR1/LDLR/NDNF/JAG1/RUNX1/SRPX2/ANPEP/PLXND1/SIX1/SAT1/KLF5/TGFBI/ADGRA2/EMILIN1/VEGFC/SEMA5A/MCAM/TGFB1/FZD5/CYP1B1/CAV1/HMOX1/TGFB2/HEY1	71
GO:2000147	positive regulation of cell motility	60/498	439/12060	0.136674259681093	3.30982243324094	10.2315855739698	1.25627828763866e-16	1.30831198739299e-13	9.30450422062161e-14	LAMC2/LPAR1/SEMA3E/CLDN4/JCAD/FERMT1/KIT/SPRY2/PDGFB/IGFBP5/EPHA1/GCNT2/CCBE1/F2RL1/CCN1/VSIR/XBP1/FGF18/FUT1/F3/PDGFA/FOXC2/SMOC2/THBS1/KDR/EDN1/RET/GATA3/HDAC9/FLT1/EPHA2/PGF/RAB25/TWIST1/THY1/NTN1/EPB41L4B/TLR4/VEGFA/TRPV4/CXCL16/LGALS3/SRPX2/FUT4/S100A11/DDR2/ADGRA2/CXCL12/VEGFC/SEMA5A/MCAM/WNT5B/TGFB1/HBEGF/SEMA7A/CAV1/HMOX1/NR4A3/TGFB2/ITGA3	60
GO:0003013	circulatory system process	58/498	414/12060	0.140096618357488	3.39270123974158	10.281443392581	1.3425587191166e-16	1.30831198739299e-13	9.30450422062161e-14	JPH1/SLC6A9/SLC1A5/THRB/SLC7A1/RAMP2/SCN5A/PDGFB/SLC7A2/F2RL1/ADM2/NPPB/ADRA2B/ABCG2/SLC38A2/SLC7A5/APLN/FOXC1/FOXC2/SCNN1A/IRX3/SLC1A3/EDN1/SLC6A6/KCNE3/EPAS1/KCNK6/IRX5/ADM/ABCC3/FLI1/SLC16A7/PTP4A3/WNK4/ADA/SLC2A3/STC1/COMT/VEGFA/SLC8A2/NPR1/TRPV4/SLC1A4/ANPEP/SPX/SLC8A1/GCLM/EMILIN1/ASPH/FKBP1C/ADRA1D/CXCL12/VEGFC/TGFB1/HBEGF/CAV1/TGFB2/SLC6A17	58
GO:0030335	positive regulation of cell migration	59/498	428/12060	0.13785046728972	3.3383064970161	10.222331499066	1.54209333733261e-16	1.30831198739299e-13	9.30450422062161e-14	LAMC2/LPAR1/SEMA3E/CLDN4/JCAD/FERMT1/KIT/SPRY2/PDGFB/IGFBP5/EPHA1/GCNT2/CCBE1/F2RL1/CCN1/VSIR/XBP1/FGF18/FUT1/F3/PDGFA/FOXC2/SMOC2/THBS1/KDR/EDN1/RET/GATA3/HDAC9/FLT1/EPHA2/PGF/RAB25/TWIST1/THY1/EPB41L4B/TLR4/VEGFA/TRPV4/CXCL16/LGALS3/SRPX2/FUT4/S100A11/DDR2/ADGRA2/CXCL12/VEGFC/SEMA5A/MCAM/WNT5B/TGFB1/HBEGF/SEMA7A/CAV1/HMOX1/NR4A3/TGFB2/ITGA3	59
GO:0040017	positive regulation of locomotion	60/498	447/12060	0.134228187919463	3.25058623756772	10.0630827462235	2.9758770679967e-16	2.10394508707367e-13	1.49629187313659e-13	LAMC2/LPAR1/SEMA3E/CLDN4/JCAD/FERMT1/KIT/SPRY2/PDGFB/IGFBP5/EPHA1/GCNT2/CCBE1/F2RL1/CCN1/VSIR/XBP1/FGF18/FUT1/F3/PDGFA/FOXC2/SMOC2/THBS1/KDR/EDN1/RET/GATA3/HDAC9/FLT1/EPHA2/PGF/RAB25/TWIST1/THY1/NTN1/EPB41L4B/TLR4/VEGFA/TRPV4/CXCL16/LGALS3/SRPX2/FUT4/S100A11/DDR2/ADGRA2/CXCL12/VEGFC/SEMA5A/MCAM/WNT5B/TGFB1/HBEGF/SEMA7A/CAV1/HMOX1/NR4A3/TGFB2/ITGA3	60
GO:0030855	epithelial cell differentiation	61/498	471/12060	0.129511677282378	3.13636712454915	9.81560774863362	9.11909970298418e-16	5.52617442000842e-13	3.93012627800792e-13	ETV4/MYO1E/THRB/CDH3/SPRY1/SPRY2/ESRP1/PDGFB/ST14/PRKCH/IRF6/F11R/CEBPA/F2RL1/FAM20C/KLF4/SH3BP1/AJAP1/XBP1/SFN/FOXC1/FOXC2/KDR/NRG1/EDN1/TFCP2L1/SLC4A7/GATA3/PRDM1/EPAS1/PCK2/POU3F1/GRHL1/EPHA2/TCF15/FOSL2/RAB25/SPRED3/AKR1C3/SCUBE1/STC1/CEBPB/VEGFA/MAFF/TBX3/JAG1/LGALS3/S1PR3/SIX1/ZFP36/KLF5/FLNB/ALDOC/WNT5B/TGFB1/LIF/FZD5/CAV1/TGFB2/HEY1/UGCG	61
GO:0048729	tissue morphogenesis	61/498	484/12060	0.12603305785124	3.05212585880713	9.56315623876947	3.30072955413405e-15	1.75021184607958e-12	1.24472248712476e-12	SPINT1/MTHFD1L/NPNT/RIPK4/SEMA3E/SPRY1/SFRP1/FERMT1/SPRY2/IRX2/IGFBP5/ST14/KLF4/SH3BP1/AJAP1/PDGFA/FOXC1/FOXC2/IRX3/KDR/HS3ST3B1/NRG1/EDN1/RET/GATA3/GBX2/ADM/LGR4/EPHA2/TCF15/WNK4/ESRP2/TNC/HS3ST3A1/TWIST1/STC1/NTN1/NKX3-1/LHX2/ACTA1/MICAL2/VEGFA/ETV5/TXNRD1/TBX3/JAG1/MYC/DLC1/PLXND1/SIX1/VEGFC/FOXL1/WNT5B/TGFB1/HBEGF/LIF/FZD5/NR4A3/TGFB2/HEY1/ITGA3	61
GO:0043408	regulation of MAPK cascade	59/498	462/12060	0.127705627705628	3.09263026130496	9.51865909987344	5.38621222926903e-15	2.37336973292198e-12	1.68790234362004e-12	NPNT/SPRY4/LPAR1/SPRY1/JCAD/KIT/IGFBP3/SPRY2/PDGFB/GCNT2/DUSP6/F2RL1/CCN1/ADRA2B/KLF4/DUSP5/XBP1/FGF18/WWC1/TGFA/PDGFA/THBS1/CCN2/KDR/ITPRIPL1/IGFBP6/NRG1/EDN1/RET/TRIB1/LPAR3/FLT1/EPHA2/RELL2/SPRED3/DUSP7/NGF/GADD45A/TLR4/VEGFA/NAMPT/GDF15/TRIB3/TRPV4/DUSP1/GRM4/MYC/CAV2/DDR2/EMILIN1/ADRA1D/SH2B3/DUSP4/TGFB1/LIF/SEMA7A/CAV1/TGFB2/LTBR	59
GO:1901342	regulation of vasculature development	40/498	229/12060	0.174672489082969	4.23002051875625	10.2415604240566	5.59493100641673e-15	2.37336973292198e-12	1.68790234362004e-12	HK2/SEMA3E/JCAD/SFRP1/RAMP2/SPRY2/EPHA1/CCBE1/ADM2/NPPB/KLF4/XBP1/FGF18/FUT1/F3/FOXC1/FOXC2/SMOC2/THBS1/KDR/ISM1/ADAM12/ADM/FLT1/EPHA2/TWIST1/GADD45A/VEGFA/NPR1/RUNX1/PLXND1/ADGRA2/EMILIN1/CXCL12/VEGFC/SEMA5A/TGFB1/CYP1B1/HMOX1/TGFB2	40
GO:0045765	regulation of angiogenesis	38/498	223/12060	0.170403587443946	4.12664109352207	9.78055446075533	6.25481760054314e-14	2.41208511468218e-11	1.7154360998236e-11	HK2/SEMA3E/JCAD/SFRP1/RAMP2/SPRY2/EPHA1/CCBE1/ADM2/NPPB/KLF4/XBP1/FGF18/FUT1/F3/FOXC1/FOXC2/SMOC2/THBS1/KDR/ISM1/ADAM12/ADM/FLT1/EPHA2/TWIST1/GADD45A/VEGFA/NPR1/RUNX1/PLXND1/ADGRA2/EMILIN1/VEGFC/SEMA5A/CYP1B1/HMOX1/TGFB2	38
GO:0002009	morphogenesis of an epithelium	52/498	396/12060	0.131313131313131	3.17999269806499	9.15445960914729	8.25899622806858e-14	2.91955516662224e-11	2.07634063067057e-11	SPINT1/MTHFD1L/NPNT/RIPK4/SEMA3E/SPRY1/SFRP1/FERMT1/SPRY2/IRX2/IGFBP5/ST14/KLF4/SH3BP1/AJAP1/PDGFA/FOXC2/IRX3/KDR/HS3ST3B1/EDN1/RET/GATA3/GBX2/ADM/LGR4/EPHA2/TCF15/WNK4/ESRP2/TNC/HS3ST3A1/TWIST1/NTN1/NKX3-1/LHX2/MICAL2/VEGFA/ETV5/TBX3/JAG1/MYC/DLC1/PLXND1/SIX1/VEGFC/WNT5B/TGFB1/HBEGF/LIF/FZD5/TGFB2	52
GO:0003018	vascular process in circulatory system	33/498	181/12060	0.18232044198895	4.41522998069627	9.6077819247293	4.17233247624226e-13	1.36146418186305e-10	9.68251407037273e-11	SLC6A9/SLC1A5/SLC7A1/RAMP2/SLC7A2/F2RL1/NPPB/ADRA2B/ABCG2/SLC38A2/SLC7A5/APLN/FOXC1/FOXC2/SLC1A3/EDN1/SLC6A6/ADM/ABCC3/SLC16A7/PTP4A3/SLC2A3/VEGFA/SLC8A2/NPR1/TRPV4/SLC1A4/SLC8A1/GCLM/ADRA1D/TGFB1/CAV1/SLC6A17	33
GO:1904018	positive regulation of vasculature development	28/498	132/12060	0.212121212121212	5.1369112814896	9.91820759448525	5.43200871033753e-13	1.64589863923227e-10	1.17053661382161e-10	HK2/JCAD/RAMP2/EPHA1/CCBE1/ADM2/KLF4/XBP1/FGF18/FUT1/F3/FOXC2/SMOC2/THBS1/KDR/ADAM12/ADM/FLT1/TWIST1/VEGFA/RUNX1/EMILIN1/CXCL12/VEGFC/SEMA5A/TGFB1/CYP1B1/HMOX1	28
GO:0050673	epithelial cell proliferation	44/498	316/12060	0.139240506329114	3.37196888821107	8.86744176044219	9.93221917872426e-13	2.80883158374322e-10	1.99759580113851e-10	CDH3/JCAD/SFRP1/FERMT1/KIT/IGFBP3/SCN5A/PDGFB/IGFBP5/IRF6/XBP1/FUT1/TGFA/SFN/APLN/F3/THBS1/KDR/EGFL7/GATA3/PRDM1/LGR4/FLT1/EPHA2/ESRP2/CEBPB/NKX3-1/VEGFA/JAG1/MYC/SIX1/ZFP36/BID/CAV2/CXCL12/VEGFC/SEMA5A/TGFB1/RUNX2/CAV1/HMOX1/NR4A3/TGFB2/NR1D1	44
GO:0001763	morphogenesis of a branching structure	30/498	157/12060	0.191082802547771	4.62742690507252	9.49454409352652	1.4138648185751e-12	3.74850910024724e-10	2.66587932239226e-10	SPINT1/NPNT/SEMA3E/SPRY1/SFRP1/SPRY2/ST14/PDGFA/FOXC2/KDR/HS3ST3B1/EDN1/PRDM1/GBX2/ADM/LGR4/EPHA2/COL13A1/ESRP2/TNC/HS3ST3A1/NKX3-1/VEGFA/ETV5/TBX3/MYC/PLXND1/SIX1/TGFB1/FZD5	30
GO:0070371	ERK1 and ERK2 cascade	35/498	214/12060	0.163551401869159	3.96070262357843	9.06921395264008	2.18605401879765e-12	5.45484773396449e-10	3.87939988722852e-10	NPNT/SPRY4/SPRY1/SPRY2/PDGFB/GCNT2/DUSP6/F2RL1/CCN1/KLF4/DUSP5/XBP1/FGF18/PDGFA/CCN2/KDR/NRG1/EDN1/EPHA2/WNK4/SPRED3/DUSP7/NGF/TLR4/VEGFA/NAMPT/TRPV4/DUSP1/MYC/DDR2/EMILIN1/DUSP4/TGFB1/LIF/SEMA7A	35
GO:0009611	response to wounding	50/498	413/12060	0.121065375302663	2.93182414889583	8.29066592043404	5.76727816668976e-12	1.35915522128322e-09	9.66609311446365e-10	CLDN4/FERMT1/UCK2/PDGFB/ARHGEF19/F11R/F2RL1/ADRA2B/KLF4/AJAP1/XBP1/SYT7/F3/PDGFA/CD9/FOXC2/SMOC2/THBS1/CCN2/SLC1A3/KDR/NRG1/EDN1/F2RL2/KCNK2/TNC/SCUBE1/LMAN1/EPB41L4B/MYL12A/COMT/TLR4/VEGFA/SYTL4/NDNF/FOSL1/ITPR3/ZFP36/SLC7A11/PLAUR/DDR2/EMILIN1/DDIT3/SH2B3/MCAM/TGFB1/HBEGF/CAV1/HMOX1/TGFB2	50
GO:0061138	morphogenesis of a branching epithelium	28/498	146/12060	0.191780821917808	4.64433074764813	9.1943123107214	7.31410063133106e-12	1.63296920411086e-09	1.1613414077227e-09	SPINT1/NPNT/SEMA3E/SPRY1/SFRP1/SPRY2/ST14/PDGFA/FOXC2/KDR/HS3ST3B1/EDN1/GBX2/ADM/LGR4/EPHA2/ESRP2/TNC/HS3ST3A1/NKX3-1/VEGFA/ETV5/TBX3/MYC/PLXND1/SIX1/TGFB1/FZD5	28
GO:0045766	positive regulation of angiogenesis	26/498	128/12060	0.203125	4.91905120481928	9.25088190262994	1.06303204711868e-11	2.25469097193873e-09	1.60349991949587e-09	HK2/JCAD/RAMP2/EPHA1/CCBE1/ADM2/KLF4/XBP1/FGF18/FUT1/F3/FOXC2/SMOC2/THBS1/KDR/ADAM12/ADM/FLT1/TWIST1/VEGFA/RUNX1/EMILIN1/VEGFC/SEMA5A/CYP1B1/HMOX1	26
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	28/498	149/12060	0.187919463087248	4.55082073259481	9.05110504630644	1.22228141118831e-11	2.46900845060039e-09	1.75591905988256e-09	SEMA3E/PRR5L/KIT/SPRY2/PDGFB/IGFBP5/GCNT2/F2RL1/ADRA2B/XBP1/PDGFA/THBS1/KDR/UNC5B/RET/GATA3/TXN/FLT1/AKR1C3/NKX3-1/NGF/VEGFA/GDF15/DDR2/SEMA5A/TGFB1/HBEGF/TGFB2	28
GO:0043410	positive regulation of MAPK cascade	41/498	307/12060	0.133550488599349	3.23417448294808	8.22935397658606	2.38106835722159e-11	4.59113271424272e-09	3.26513967071631e-09	NPNT/LPAR1/JCAD/KIT/IGFBP3/SPRY2/PDGFB/GCNT2/F2RL1/ADRA2B/FGF18/WWC1/TGFA/PDGFA/THBS1/CCN2/KDR/ITPRIPL1/IGFBP6/NRG1/EDN1/RET/LPAR3/FLT1/RELL2/NGF/GADD45A/TLR4/VEGFA/NAMPT/GDF15/TRPV4/GRM4/CAV2/DDR2/ADRA1D/TGFB1/LIF/SEMA7A/TGFB2/LTBR	41
GO:0008015	blood circulation	44/498	347/12060	0.126801152737752	3.07072671087809	8.12282857269242	2.49772149390522e-11	4.60666720745477e-09	3.27618755218873e-09	JPH1/THRB/RAMP2/SCN5A/PDGFB/F2RL1/ADM2/NPPB/ADRA2B/APLN/FOXC1/FOXC2/SCNN1A/IRX3/EDN1/KCNE3/EPAS1/KCNK6/IRX5/ADM/FLI1/PTP4A3/WNK4/ADA/STC1/COMT/VEGFA/SLC8A2/NPR1/TRPV4/ANPEP/SPX/SLC8A1/GCLM/EMILIN1/ASPH/FKBP1C/ADRA1D/CXCL12/VEGFC/TGFB1/HBEGF/CAV1/TGFB2	44
GO:0060562	epithelial tube morphogenesis	38/498	270/12060	0.140740740740741	3.40829986613119	8.30595124463363	2.72108963133905e-11	4.73388774682475e-09	3.36666475158186e-09	SPINT1/MTHFD1L/NPNT/SEMA3E/SPRY1/SFRP1/SPRY2/IRX2/ST14/FOXC2/IRX3/KDR/HS3ST3B1/EDN1/RET/GATA3/GBX2/ADM/LGR4/EPHA2/WNK4/ESRP2/TNC/HS3ST3A1/TWIST1/NTN1/NKX3-1/LHX2/MICAL2/VEGFA/ETV5/TBX3/MYC/DLC1/PLXND1/SIX1/TGFB1/TGFB2	38
GO:0033002	muscle cell proliferation	28/498	154/12060	0.181818181818182	4.40306681270537	8.8206732287073	2.78989141137715e-11	4.73388774682475e-09	3.36666475158186e-09	PIM1/IGFBP3/PDGFB/IGFBP5/KLF4/XBP1/APLN/FOXC1/FOXC2/THBS1/NRG1/EDN1/TRIB1/IRAK1/KCNK2/TLR4/NPR1/RUNX1/SIX1/CAV2/DDR2/DDIT3/FOS/TGFB1/HBEGF/HMOX1/NR4A3/TGFB2	28
GO:0070372	regulation of ERK1 and ERK2 cascade	31/498	190/12060	0.163157894736842	3.95117311350666	8.50942006611405	4.38115607488374e-11	7.1480246421757e-09	5.08356004478413e-09	NPNT/SPRY4/SPRY1/SPRY2/PDGFB/GCNT2/DUSP6/F2RL1/CCN1/KLF4/XBP1/FGF18/PDGFA/CCN2/KDR/NRG1/EPHA2/SPRED3/DUSP7/NGF/TLR4/VEGFA/NAMPT/TRPV4/DUSP1/DDR2/EMILIN1/DUSP4/TGFB1/LIF/SEMA7A	31
GO:0006935	chemotaxis	38/498	278/12060	0.136690647482014	3.31021929444396	8.08760499590626	6.59082829565349e-11	9.98510486791503e-09	7.10124582531688e-09	NBL1/MICOS10-NBL1/LPAR1/SEMA3E/KIT/PDGFB/F2RL1/CCN1/FGF18/F3/PDGFA/SMOC2/THBS1/KDR/NRG1/EDN1/PLXNA4/FLT1/EPHA2/PGF/NTN1/VEGFA/TRPV4/DUSP1/CXCL16/LGALS3/NRG3/FOSL1/S100A4/PLAUR/ADGRA2/CXCL12/VEGFC/SEMA5A/TGFB1/HBEGF/SEMA7A/TGFB2	38
GO:0042330	taxis	38/498	278/12060	0.136690647482014	3.31021929444396	8.08760499590626	6.59082829565349e-11	9.98510486791503e-09	7.10124582531688e-09	NBL1/MICOS10-NBL1/LPAR1/SEMA3E/KIT/PDGFB/F2RL1/CCN1/FGF18/F3/PDGFA/SMOC2/THBS1/KDR/NRG1/EDN1/PLXNA4/FLT1/EPHA2/PGF/NTN1/VEGFA/TRPV4/DUSP1/CXCL16/LGALS3/NRG3/FOSL1/S100A4/PLAUR/ADGRA2/CXCL12/VEGFC/SEMA5A/TGFB1/HBEGF/SEMA7A/TGFB2	38
GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	33/498	219/12060	0.150684931506849	3.64911701600924	8.21075031325796	9.19388964801114e-11	1.34484413402977e-08	9.56431496595278e-09	SEMA3E/PRR5L/KIT/SPRY2/PDGFB/IGFBP5/GCNT2/F2RL1/ADRA2B/KLF4/XBP1/PDGFA/THBS1/KDR/UNC5B/RET/GATA3/TXN/FLT1/AKR1C3/TWIST1/NKX3-1/NGF/VEGFA/GDF15/PLK3/DDR2/DDIT3/SH2B3/SEMA5A/TGFB1/HBEGF/TGFB2	33
GO:0048568	embryonic organ development	42/498	336/12060	0.125	3.02710843373494	7.82100477016925	1.1476751689034e-10	1.62281268882941e-08	1.15411825757093e-08	SPINT1/MTHFD1L/KIT/LRIG3/SPRY2/PDGFB/ST14/CEBPA/CCN1/PDGFA/FOXC1/FOXC2/KDR/EDN1/GATA3/PRDM1/EPAS1/GBX2/IRX5/ADM/PLXNA4/EPHA2/PKDCC/ADA/TWIST1/NTN1/CEBPB/MICAL2/VEGFA/GSC/INSIG1/TBX3/MYC/SIX1/SH2B3/TGFB1/LIF/RUNX2/FZD5/NR4A3/TGFB2/HEY1	42
GO:0042060	wound healing	40/498	311/12060	0.128617363344051	3.11470964242823	7.84123237908301	1.35907406942136e-10	1.85973942015659e-08	1.32261673445216e-08	CLDN4/FERMT1/PDGFB/ARHGEF19/F11R/F2RL1/ADRA2B/AJAP1/XBP1/SYT7/F3/PDGFA/CD9/FOXC2/SMOC2/THBS1/KDR/NRG1/EDN1/F2RL2/SCUBE1/LMAN1/EPB41L4B/MYL12A/TLR4/VEGFA/SYTL4/NDNF/ITPR3/SLC7A11/PLAUR/DDR2/EMILIN1/SH2B3/MCAM/TGFB1/HBEGF/CAV1/HMOX1/TGFB2	40
GO:0007162	negative regulation of cell adhesion	32/498	211/12060	0.151658767772512	3.67270027979215	8.12838888805153	1.50581759579798e-10	1.99614945042969e-08	1.41962935182796e-08	SPRY4/MBP/SEMA3E/GCNT2/TNFRSF21/VSIR/KLF4/AJAP1/CD9/THBS1/EPCAM/IL4R/TNC/PLXNC1/CEBPB/VEGFA/TRPV4/DUSP1/FXYD5/JAG1/RUNX1/LGALS3/LRRC32/DLC1/PLXND1/TGFBI/SH2B3/CXCL12/SEMA5A/TGFB1/CYP1B1/JAK3	32
GO:0008544	epidermis development	33/498	225/12060	0.146666666666667	3.55180722891566	8.01878977197584	1.91187890185139e-10	2.45763342474352e-08	1.74782932462714e-08	ETV4/SPINT1/LAMC2/CLDN4/CDH3/FERMT1/ESRP1/IGFBP5/ST14/PRKCH/IRF6/COL17A1/KLF4/SFN/PDGFA/FOXC1/CCN2/BNC1/EDA/SLC4A7/POU3F1/LGR4/GRHL1/EPHA2/FOSL2/AKR1C3/LHX2/MAFF/JAG1/ZFP36/FLNB/TGFB2/UGCG	33
GO:0050678	regulation of epithelial cell proliferation	36/498	264/12060	0.136363636363636	3.30230010952903	7.84965107051449	2.28600899910987e-10	2.85213240418355e-08	2.02839064750739e-08	CDH3/JCAD/SFRP1/SCN5A/PDGFB/IRF6/XBP1/FUT1/TGFA/SFN/APLN/F3/THBS1/KDR/EGFL7/GATA3/FLT1/ESRP2/NKX3-1/VEGFA/JAG1/MYC/SIX1/ZFP36/BID/CAV2/CXCL12/VEGFC/SEMA5A/TGFB1/RUNX2/CAV1/HMOX1/NR4A3/TGFB2/NR1D1	36
GO:0050900	leukocyte migration	32/498	219/12060	0.146118721461187	3.53853771249381	7.86801760439976	4.0033360984718e-10	4.85204335134782e-08	3.45069511525419e-08	NBL1/MICOS10-NBL1/CHST2/KIT/SPNS2/PDGFB/F11R/F2RL1/TRIM55/CD9/THBS1/EDN1/RET/GATA3/FLT1/PGF/ADA/THY1/VEGFA/GDF15/TRPV4/DUSP1/CXCL16/LGALS3/FUT4/EMILIN1/CXCL12/VEGFC/TGFB1/HMOX1/TGFB2/ITGA3	32
GO:0072006	nephron development	23/498	122/12060	0.188524590163934	4.56547501481335	8.21457997148733	8.02817196353109e-10	9.4598626303608e-08	6.72770200218717e-08	NPNT/MYO1E/PDGFB/IRX2/EGR1/FOXC1/FOXC2/IRX3/HS3ST3B1/EDN1/RET/GATA3/LGR4/WNK4/HS3ST3A1/COMT/VEGFA/JAG1/MYC/SIX1/TGFB1/LIF/ITGA3	23
GO:0010594	regulation of endothelial cell migration	25/498	145/12060	0.172413793103448	4.17532197756544	7.98322893163723	1.0522947950039e-09	1.20644176227204e-07	8.58001958031632e-08	JCAD/PDGFB/CCBE1/KLF4/SH3BP1/FGF18/FUT1/FOXC2/SMOC2/THBS1/KDR/EDN1/GATA3/HDAC9/EPHA2/STC1/GADD45A/VEGFA/CARD10/SRPX2/ADGRA2/VEGFC/SEMA5A/TGFB1/HMOX1	25
GO:0070482	response to oxygen levels	36/498	282/12060	0.127659574468085	3.09151499615483	7.37570602156747	1.45160369827089e-09	1.61840803053939e-07	1.15098573550854e-07	HK2/LPAR1/SFRP1/UCK2/EGR1/SLC7A5/THBS1/EDN1/EPAS1/STC2/IRAK1/PDLIM1/PGF/FOSL2/KCNK2/ADA/CYGB/OPRD1/TWIST1/STC1/NKX3-1/COMT/VEGFA/TRPV4/PMAIP1/NDNF/MYC/DDR2/TXNRD2/CXCL12/VEGFC/FOS/TGFB1/LIF/CAV1/TGFB2	36
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	34/498	256/12060	0.1328125	3.21630271084337	7.43855016733263	1.48792817517765e-09	1.61840803053939e-07	1.15098573550854e-07	SEMA3E/PRR5L/KIT/SPRY2/PDGFB/IGFBP5/GCNT2/F2RL1/ADRA2B/KLF4/XBP1/PDGFA/THBS1/KDR/UNC5B/EDN1/RET/GATA3/TXN/FLT1/AKR1C3/TWIST1/NKX3-1/NGF/VEGFA/GDF15/PLK3/DDR2/DDIT3/SH2B3/SEMA5A/TGFB1/HBEGF/TGFB2	34
GO:0022612	gland morphogenesis	20/498	96/12060	0.208333333333333	5.04518072289157	8.25827193830965	1.66007511553331e-09	1.76050966002307e-07	1.25204612661012e-07	SFRP1/IGFBP5/ELF3/XBP1/TGFA/PDGFA/EDA/EPHA2/ESRP2/TNC/NTN1/CEBPB/NKX3-1/ETV5/TBX3/NRG3/PLXND1/TGFB1/CAV1/TGFB2	20
GO:0072073	kidney epithelium development	22/498	117/12060	0.188034188034188	4.55359901143034	8.016014083602	1.98039329095135e-09	2.02856218719047e-07	1.44268076837834e-07	NPNT/MYO1E/SPRY1/SFRP1/IRX2/FOXC1/FOXC2/IRX3/HS3ST3B1/EDN1/RET/EPCAM/GATA3/LGR4/WNK4/HS3ST3A1/VEGFA/JAG1/MYC/SIX1/TGFB1/LIF	22
GO:0043542	endothelial cell migration	28/498	184/12060	0.152173913043478	3.68517548454688	7.61728713899135	2.00847741305987e-09	2.02856218719047e-07	1.44268076837834e-07	JCAD/PDGFB/CCBE1/KLF4/SH3BP1/FGF18/FUT1/FOXC2/SMOC2/THBS1/KDR/EDN1/GATA3/HDAC9/PTP4A3/EPHA2/STC1/GADD45A/VEGFA/CARD10/SRPX2/PLXND1/ADGRA2/VEGFC/SEMA5A/TGFB1/CYP1B1/HMOX1	28
GO:0030856	regulation of epithelial cell differentiation	21/498	108/12060	0.194444444444444	4.70883534136546	8.03494622677674	2.45077068807423e-09	2.41771378111881e-07	1.71943911677374e-07	ETV4/SPRY1/SPRY2/ESRP1/PRKCH/F11R/AJAP1/SFN/FOXC1/GATA3/GRHL1/SPRED3/CEBPB/VEGFA/MAFF/TBX3/JAG1/S1PR3/ZFP36/LIF/CAV1	21
GO:0050878	regulation of body fluid levels	33/498	249/12060	0.132530120481928	3.20946436347801	7.31134330004668	2.75785009815408e-09	2.65881820826582e-07	1.89090870366258e-07	HK2/PDGFB/F11R/F2RL1/NPPB/ADRA2B/XBP1/APLN/F3/PDGFA/CD9/SCNN1A/THBS1/EDN1/ADM/F2RL2/FLI1/FOSL2/WNK4/ADA/SCUBE1/LMAN1/MYL12A/TLR4/VEGFA/NPR1/TRPV4/ITPR3/SLC7A11/PLAUR/EMILIN1/SH2B3/CAV1	33
GO:0045598	regulation of fat cell differentiation	21/498	110/12060	0.190909090909091	4.62322015334064	7.92247631908844	3.47383559266352e-09	3.27466901868414e-07	2.32889188504646e-07	PIM1/SFRP1/LPL/CEBPA/XBP1/TRIB2/JDP2/NOCT/CEBPB/VEGFA/TRIB3/TRPV4/INSIG1/JAG1/SIX1/ZFP36/KLF5/DDIT3/WNT5B/TGFB1/NR1D1	21
